unidad,piso,tipologia,dormitorios,m2,cochera_usd,precio_bajo_usd,precio_alto_usd,precio_m2_bajo,precio_m2_alto,forma_de_pago,estado
1-A,1,A,2,77.1,15000,146490,158055,1900,2050,20/70/10,Disponible
1-B,1,B,2,95.8,15000,182020,196390,1900,2050,20/70/10,Disponible
1-C,1,C,1,54.5,15000,103550,111725,1900,2050,20/70/10,Disponible
1-D,1,D,2,77.2,15000,146680,158260,1900,2050,20/70/10,Disponible
2-A,2,A,2,77.1,15000,146490,158055,1900,2050,20/70/10,Disponible
2-B,2,B,2,95.8,15000,182020,196390,1900,2050,20/70/10,Disponible
2-C,2,C,1,54.5,15000,103550,111725,1900,2050,20/70/10,Disponible
2-D,2,D,2,77.2,15000,146680,158260,1900,2050,20/70/10,Disponible
3-A,3,A,2,77.1,15000,146490,158055,1900,2050,20/70/10,Disponible
3-B,3,B,2,95.8,15000,182020,196390,1900,2050,20/70/10,Disponible
3-C,3,C,1,54.5,15000,103550,111725,1900,2050,20/70/10,Disponible
3-D,3,D,2,77.2,15000,146680,158260,1900,2050,20/70/10,Disponible
4-A,4,A,2,77.1,15000,146490,158055,1900,2050,20/70/10,Disponible
4-B,4,B,2,95.8,15000,182020,196390,1900,2050,20/70/10,Disponible
4-E1,4,E1,3,132.3,15000,251370,271215,1900,2050,20/70/10,Disponible
5-A,5,A,2,77.1,15000,146490,158055,1900,2050,20/70/10,Disponible
5-B,5,B,2,95.8,15000,182020,196390,1900,2050,20/70/10,Disponible
5-E2,5,E2,3,124.4,15000,236360,255020,1900,2050,20/70/10,Disponible
6-A,6,A,2,77.1,15000,146490,158055,1900,2050,20/70/10,Disponible
6-B,6,B,2,95.8,15000,182020,196390,1900,2050,20/70/10,Disponible
6-E2,6,E2,3,124.4,15000,236360,255020,1900,2050,20/70/10,Disponible
