Barrio,Tipologia,Tipo de alquiler,Unidad,Valor bajo,Valor alto,Categoria de dato,Fuente,Fecha de actualizacion,Notas
Zeballos Cué,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Zeballos Cué,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Zeballos Cué,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Zeballos Cué,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Zeballos Cué,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Zeballos Cué,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Zeballos Cué,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Zeballos Cué,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Zeballos Cué,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Zeballos Cué,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Zeballos Cué,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Zeballos Cué,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
De la Residenta,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
De la Residenta,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
De la Residenta,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
De la Residenta,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
De la Residenta,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
De la Residenta,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
De la Residenta,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
De la Residenta,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
De la Residenta,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
De la Residenta,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
De la Residenta,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
De la Residenta,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Blas,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
San Blas,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Blas,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Blas,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
San Blas,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Blas,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Blas,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
San Blas,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Blas,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Blas,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
San Blas,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
San Blas,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Botánico,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Botánico,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Botánico,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Botánico,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Botánico,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Botánico,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Botánico,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Botánico,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Botánico,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Botánico,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Botánico,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Botánico,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Loma Pyta,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Loma Pyta,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Loma Pyta,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Loma Pyta,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Loma Pyta,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Loma Pyta,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Loma Pyta,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Loma Pyta,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Loma Pyta,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Loma Pyta,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Loma Pyta,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Loma Pyta,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Bañado Cara Cará,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Bañado Cara Cará,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Bañado Cara Cará,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Bañado Cara Cará,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Bañado Cara Cará,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Bañado Cara Cará,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Bañado Cara Cará,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Bañado Cara Cará,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Bañado Cara Cará,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Bañado Cara Cará,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Bañado Cara Cará,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Bañado Cara Cará,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santa Rosa,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
