Barrio,Tipologia,Etapa constructiva,Calidad constructiva,m2,Precio USD,USD/m2,Categoria de dato,Fuente,Fecha de actualizacion,Notas
Luis A. de Herrera,1 dormitorio,Pozo,Sin dato especifico,44.0,69800,1586.36,A,Century 21 - Inarco Herrera,2026-08-17,"Proyecto en el propio Barrio Herrera, 10 niveles, 130 deptos, entrega 2028"
Luis A. de Herrera,Monoambiente,Pozo,Sin dato especifico,,46600,,A,Century 21 - Inarco Herrera,2026-08-17,"Precio 'desde', sin m2 especifico de esta tipologia"
Luis A. de Herrera,2 dormitorios,Pozo,Sin dato especifico,,116600,,A,Century 21 - Inarco Herrera,2026-08-17,"Precio 'desde', sin m2 especifico de esta tipologia"
Ycua Sati,1 dormitorio,Pozo,Sin dato especifico,45.18,73689,1631.01,A,Century 21 - Sunset Santa Teresa,2026-08-17,Esquina Concejal Vargas y Austria - misma esquina que Herrera
Ycua Sati,Monoambiente,Pre-lanzamiento,Sin dato especifico,35.6,64404,1809.1,A,Century 21 - Ayre Santa Teresa,2026-08-17,"Precio 'desde' USD 54.895, listado a USD 64.404 segun altura/tipologia"
Ycua Sati,2 dormitorios,Pozo,Sin dato especifico,72.8,115000,1579.67,A,Century 21 - Marina 11,2026-08-17,"Piso 11, eje corporativo, entrega sept. 2027"
Ycua Sati,1 dormitorio,En obra,Sin dato especifico,43.82,79200,1807.39,A,Century 21 - Livit Santa Teresa,2026-08-17,"Inicio obra jul. 2025, entrega nov. 2027"
Ycua Sati,Monoambiente,Pozo,Sin dato especifico,,57000,,A,Century 21 - Matrisa Lillo,2026-08-17,"Precio 'desde', sin m2 especifico de esta tipologia"
Ycua Sati,1 dormitorio,Pozo,Sin dato especifico,,69000,,A,Century 21 - Matrisa Lillo,2026-08-17,"Precio 'desde', sin m2 especifico de esta tipologia"
Ycua Sati,2 dormitorios,Pozo,Sin dato especifico,,80640,,A,Century 21 - Matrisa Lillo,2026-08-17,"Precio 'desde', sin m2 especifico de esta tipologia"
Ycua Sati,3 dormitorios,Pozo,Sin dato especifico,,119280,,A,Century 21 - Matrisa Lillo,2026-08-17,"Precio 'desde', sin m2 especifico de esta tipologia"
Ycua Sati,1 dormitorio,Pozo,Sin dato especifico,49.54,83062,1676.67,A,Century 21 - Ventura Ycua Saty,2026-08-17,"Eje corporativo, unidad de menor tamaño del proyecto"
Luis A. de Herrera,1 dormitorio,Terminado,Sin dato especifico,38.0,70300,1850.0,A,"Filum Herrera (Century 21 Liberty), 03-presupuesto-y-comparables.md",2026-08-17,"Entrega dic. 2026, comparable directo del caso"
Luis A. de Herrera,1 dormitorio,Terminado,Sin dato especifico,40.0,75600,1890.0,A,Filum Herrera (Century 21 Liberty),2026-08-17,Entrega dic. 2026
Luis A. de Herrera,1 dormitorio Plus,Terminado,Sin dato especifico,48.0,97200,2025.0,A,Filum Herrera (Century 21 Liberty),2026-08-17,Entrega dic. 2026
Luis A. de Herrera,2 dormitorios,Terminado,Sin dato especifico,77.0,142500,1850.65,A,Filum Herrera (Century 21 Liberty),2026-08-17,Entrega dic. 2026
