Barrio,Tipologia,Tipo de alquiler,Unidad,Valor bajo,Valor alto,Categoria de dato,Fuente,Fecha de actualizacion,Notas,Capacidad (huespedes),Tarifa semanal (USD),Ocupacion estimada (%),Ingreso bruto mensual estimado (USD),Costos operativos estimados (USD/mes),Ingreso neto estimado (USD/mes),Confianza,Vigencia
Zeballos Cué,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Zeballos Cué,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Zeballos Cué,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Zeballos Cué,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
De la Residenta,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
De la Residenta,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
De la Residenta,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
De la Residenta,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Blas,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Blas,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Blas,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Blas,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Botánico,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Botánico,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Botánico,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Botánico,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Loma Pyta,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Loma Pyta,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Loma Pyta,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Loma Pyta,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Bañado Cara Cará,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Bañado Cara Cará,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Bañado Cara Cará,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Bañado Cara Cará,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Santa Rosa,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Santa Rosa,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Santa Rosa,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Santa Rosa,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Tablada Nueva,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Tablada Nueva,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Tablada Nueva,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Tablada Nueva,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Virgen de Fátima,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Virgen de Fátima,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Virgen de Fátima,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Virgen de Fátima,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Santísima Trinidad,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Santísima Trinidad,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Santísima Trinidad,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Santísima Trinidad,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Mbocayaty,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Mbocayaty,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Mbocayaty,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Mbocayaty,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Ñu Guazú,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Ñu Guazú,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Ñu Guazú,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Ñu Guazú,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Banco San Miguel,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Banco San Miguel,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Banco San Miguel,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Banco San Miguel,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Virgen de la Asunción,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Virgen de la Asunción,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Virgen de la Asunción,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Virgen de la Asunción,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Mburucuyá,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Mburucuyá,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Mburucuyá,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Mburucuyá,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Cañada del Ybyray,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Cañada del Ybyray,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Cañada del Ybyray,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Cañada del Ybyray,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Madame Lynch,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Madame Lynch,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Madame Lynch,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Madame Lynch,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Salvador del Mundo,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Salvador del Mundo,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Salvador del Mundo,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Salvador del Mundo,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
